Date,Temperature,Flow rate
03/01/2017,513.4382324,8.888319969
03/01/2017,524.2493286,9.748462677
03/01/2017,520.1054077,8.182376862
03/01/2017,520.1444702,14.4375
04/01/2017,516.8181152,12.90112686
04/01/2017,509.5666809,7.545594215
04/01/2017,510.5585022,7.225922108
04/01/2017,512.862915,8.226434708
04/01/2017,514.213623,13.88165951
05/01/2017,513.5289917,7.641905785
05/01/2017,528.4425049,7.547131062
05/01/2017,515.8933716,5.636782646
06/01/2017,508.8624573,9.188524246
06/01/2017,536.4055176,8.005635262
06/01/2017,529.5552368,6.761782646
06/01/2017,502.9814148,4.282274723
07/01/2017,526.7012939,9.298155785
07/01/2017,518.2160034,10.0527668
07/01/2017,540.4111938,5.5204916
07/01/2017,549.8745728,9.905737877
08/01/2017,693.4818726,18.24846268
08/01/2017,723.2901001,28.24436569
08/01/2017,724.4047241,16.42879105
08/01/2017,720.7666016,10.96567631
09/01/2017,722.4625244,6.815061569
09/01/2017,722.1248779,5.851946831
09/01/2017,723.6040039,9.0420084
09/01/2017,707.0309448,9.663934708
10/01/2017,707.5919189,8.431864738
10/01/2017,702.6889648,12.93954945
10/01/2017,708.369751,8.054303169
10/01/2017,709.3134155,7.370901585
11/01/2017,708.786438,6.594774723
11/01/2017,708.9882813,5.857582092
11/01/2017,702.4872437,6.707479477
11/01/2017,703.7952271,5.644467354
12/01/2017,706.302124,5.342725277
12/01/2017,705.6043091,5.012295246
12/01/2017,685.9766846,1.646516442
12/01/2017,667.8244019,12.24795055
13/01/2017,666.6270752,8.100922585
13/01/2017,666.9293823,10.17059422
13/01/2017,689.2182617,11.51844215
13/01/2017,685.1518555,9.079405785
